Colon,Segment,Texture,Video,Num_frames,Video Name,Preview,Download,Old Name
c0,cecum,t1,v1,276,c0_cecum_t1_v1,esEBiCIfDUY,https://drive.google.com/uc?export=view&id=14o6_4GQLZWx5dQq2L_drzmN_rlCT7Yhr&confirm=t,cecum_t1_a
c0,cecum,t1,v2,765,c0_cecum_t1_v2,atjrygVuUmU,http://drive.google.com/uc?export=view&id=1z3AHdnBH_YoCMnnTfDa8SNPQYIsvaBO3&confirm=t,cecum_t1_b
c0,cecum,t2,v1,370,c0_cecum_t2_v1,h8oLhvG2kog,http://drive.google.com/uc?export=view&id=13XhJIev9memFtwUf_dnjJ7o8z6O_c-xW&confirm=t,cecum_t2_a
c0,cecum,t2,v2,1142,c0_cecum_t2_v2,GBtRipJ2zAs,http://drive.google.com/uc?export=view&id=1ykYtQGiFesev5QLfz_avYuQ5a7Zs8kgF&confirm=t,cecum_t2_b
c0,cecum,t2,v3,595,c0_cecum_t2_v3,ryAwRXJ9dYU,http://drive.google.com/uc?export=view&id=1tNoBLpPbrQexKlnOKMK2peERn9Rj_9Dp&confirm=t,cecum_t2_c
c0,cecum,t3,v1,730,c0_cecum_t3_v1,qZ12JdHU1es,http://drive.google.com/uc?export=view&id=1Uw8uCRRDm_RrgkccGbiBXZHf9P-THM2Q&confirm=t,cecum_t3_a
c0,cecum,t4,v1,465,c0_cecum_t4_v1,rsX_jeobzbA,http://drive.google.com/uc?export=view&id=1FC-dR__0LVb7WH02KpUx9TZVvvvN-Gyx&confirm=t,cecum_t4_a
c0,cecum,t4,v2,425,c0_cecum_t4_v2,zqD3qsnOkic,http://drive.google.com/uc?export=view&id=11SbH2AZsuciTu3iGxdXCdQZky6uDTyS5&confirm=t,cecum_t4_b
c0,descending,t4,v1,148,c0_descending_t4_v1,dQLlzx6lBTE,http://drive.google.com/uc?export=view&id=1d9HDNg4-Og1cTWM-eIU5SWM2BMrMWhwQ&confirm=t,desc_t4_a
c0,sigmoid,t1,v1,700,c0_sigmoid_t1_v1,flhT2kCXa4c,http://drive.google.com/uc?export=view&id=19VGDuZ73OWNwM8eIgDkkZYBPJPQ5BD91&confirm=t,sigmoid_t1_a
c0,sigmoid,t2,v1,514,c0_sigmoid_t2_v1,BCFzjgTAbq0,http://drive.google.com/uc?export=view&id=16epAys428g9vBQgm611TElMyAXORo7rH&confirm=t,sigmoid_t2_a
c0,sigmoid,t3,v1,613,c0_sigmoid_t3_v1,Vu_J_j4e6-U,http://drive.google.com/uc?export=view&id=1ZRU2KuHoc2XCbKSY_A1S-7BxEfKf9xPr&confirm=t,sigmoid_t3_a
c0,sigmoid,t3,v2,536,c0_sigmoid_t3_v2,gDyYHGcAwJE,http://drive.google.com/uc?export=view&id=1XfZFAQ5_Wxle8d5wSlOCumKSg4IP8wTv&confirm=t,sigmoid_t3_b
c0,transverse,t1,v1,61,c0_transverse_t1_v1,WuCjvJ1Dx9M,http://drive.google.com/uc?export=view&id=1urFuVo8ZalwPmsXEZg3xzhuqhpgWV8hw&confirm=t,trans_t1_a
c0,transverse,t1,v2,700,c0_transverse_t1_v2,sE04yM-TMWk,http://drive.google.com/uc?export=view&id=1hyjmd7vn86McE1nUnYCzvOm8LlyHLYwt&confirm=t,trans_t1_b
c0,transverse,t2,v1,194,c0_transverse_t2_v1,kxCAbejwwlQ,http://drive.google.com/uc?export=view&id=1ylZWWtVlXfDx9dhPIeWJ1HqDHJZ3QKdH&confirm=t,trans_t2_a
c0,transverse,t2,v2,103,c0_transverse_t2_v2,Pdr7Y3uCyYE,http://drive.google.com/uc?export=view&id=1vru228_TEgxT3aS90CmvOWsMB0RLnAxn&confirm=t,trans_t2_b
c0,transverse,t2,v3,235,c0_transverse_t2_v3,ySCoXwM0Nrg,http://drive.google.com/uc?export=view&id=12YpowbP6zhoO_Qx9UBwhfRLXNJN1EAu4&confirm=t,trans_t2_c
c0,transverse,t3,v1,250,c0_transverse_t3_v1,hFzc7p1tzHg,http://drive.google.com/uc?export=view&id=1B4aeZfAqmUJgWr8e-2YAibUe4er30ncr&confirm=t,trans_t3_a
c0,transverse,t3,v2,214,c0_transverse_t3_v2,gasn68GNHD8,http://drive.google.com/uc?export=view&id=1ZpbYcDVP-sCTjjQrDc303olFgsr2nA5J&confirm=t,trans_t3_b
c0,transverse,t4,v1,382,c0_transverse_t4_v1,lELJRIanN78,http://drive.google.com/uc?export=view&id=18qzXMifS54jAx29yROKXXxxZg0qo-iTz&confirm=t,trans_t4_a
c0,transverse,t4,v2,597,c0_transverse_t4_v2,H8TGO44c5_I,http://drive.google.com/uc?export=view&id=1C-nw6MR7sxssw3LS-GpiPmwBzEYhUCHN&confirm=t,trans_t4_b

